female/PHCM01,MOP03
female/PHCM02,MOP02
female/MEQ08_3,MEQ08_4
female/MEQ09_3,MEQ08_4
female/MCY10,S2_3
female/MCY11,S2_4E
female/MDD13,S2_5
female/MTS32,MEQ04_4
female/MTS33,S2_15
female/MTS34,S2_16
female/MTS35_1,S2_17
female/MTS35_2,S2_18
female/MTS35_3,S2_19
female/MTS36,S2_20M
female/PHBN01,PHBN01_N
female/PHBN01_E,PHBN01_N
female/PHBN02,PHBN02_N
female/PHBN02_E,PHBN02_N
female/PHBN03,PHBN03_N
female/PHBN03_E,PHBN03_N
female/PHBN04,PHBN04_N
female/PHBN04_E,PHBN04_N
female/PHBN05,PHBN05_N
female/PHBN05_E,PHBN05_N
female/PHFR01_E,S2_10E
female/PHFR01_N,S2_10B
female/PHFR02_E,S2_12E
female/PHFR02_N,S2_12B
female/PHHO01,PHHO01_E
female/PHHO01_N,PHHO01_E
female/PHHO02,PHHO02_E
female/PHHO02_N,PHHO02_E
female/PHHO03_N,PHHO03_E
female/PHHO04,PHHO04_E
female/PHHO04_N,PHHO04_E
female/PHIN13_E,S2_22
female/PHIN13_N,S2_21
female/PHIN14_E,S2_23M
female/PHIN14_N,S2_23E
female/PHIN15_E,S2_25E
female/PHIN15_N,S2_25M
female/PHIN16_E,S2_27E
female/PHIN16_N,S2_27M
female/PHIN17_E,S2_29E
female/PHIN17_N,S2_29M
female/PHIN18_E,S2_31E
female/PHIN18_N,S2_31M
female/PHIN19_E,S2_33E
female/PHIN19_N,S2_33M
female/PHIN20_E,S2_35E
female/PHIN20_N,S2_35M
female/PHLF01,PHLF01_N
female/PHLF01_E,PHLF01_N
female/PHLF02,PHLF02_N
female/PHLF02_E,PHLF02_N
female/PHLF03,PHLF03_N
female/PHLF03_E,PHLF03_N
female/PHLF04,PHLF04_N
female/PHLF04_E,PHLF04_N
female/PHMN01,PHMN01_N
female/PHMN01_E,PHMN01_N
female/PHMN02,PHMN02_N
female/PHMN02_E,PHMN02_N
female/PHMN03,PHMN03_N
female/PHMN03_E,PHMN03_N
female/PHMN04,PHMN04_N
female/PHMN04_E,PHMN04_N
female/PHMN05,PHMN05_N
female/PHMN05_E,PHMN05_N
female/PHMN06,PHMN06_N
female/PHMN06_E,PHMN06_N
female/PHMN07,PHMN07_N
female/PHMN07_E,PHMN07_N
female/PHMN08,PHMN08_N
female/PHMN08_E,PHMN08_N
female/PHMN09,PHMN09_N
female/PHMN09_E,PHMN09_N
female/PHMN10,PHMN10_N
female/PHMN10_E,PHMN10_N
female/PHMN11,PHMN11_N
female/PHMN11_E,PHMN11_N
female/PHMN12,PHMN12_N
female/PHMN12_E,PHMN12_N
female/PHNM70_N,PHNM70_E
female/PHNM71_E,S2_6E
female/PHNM71_N,S2_6B
female/PHNM72_N,S2_8B
female/PHNM72_E,S2_8E
female/PHNP01_E,female/PHNP01
female/PHNP01_N,female/PHNP01
female/PHNP02_E,female/PHNP02
female/PHNP02_N,female/PHNP02
female/PHNP03_E,female/PHNP03
female/PHNP03_N,female/PHNP03
female/PHNP04_E,female/PHNP04
female/PHNP04_N,female/PHNP04
female/PHNP05_E,female/PHNP05
female/PHNP05_N,female/PHNP05
female/PHNP06_E,female/PHNP06
female/PHNP06_N,female/PHNP06
female/PHNP07_E,female/PHNP07
female/PHNP07_N,female/PHNP07
female/PHNP08_E,female/PHNP08
female/PHNP08_N,female/PHNP08
female/PHNP09_E,female/PHNP09
female/PHNP09_N,female/PHNP09
female/PHNP10_E,female/PHNP10
female/PHNP10_N,female/PHNP10
female/PHNP11_E,female/PHNP11
female/PHNP11_N,female/PHNP11
female/PHNP12_E,female/PHNP12
female/PHNP12_N,female/PHNP12
female/PHNP13_E,female/PHNP13
female/PHNP13_N,female/PHNP13
female/PHNP14_E,female/PHNP14
female/PHNP14_N,female/PHNP14
female/PHNP15_E,female/PHNP15
female/PHNP15_N,female/PHNP15
female/PHNP16_E,female/PHNP16
female/PHNP16_N,female/PHNP16
female/PHNP17_E,female/PHNP17
female/PHNP17_N,female/PHNP17
female/PHNP18_E,female/PHNP18
female/PHNP18_N,female/PHNP18
female/PHNP19_E,female/PHNP19
female/PHNP19_N,female/PHNP19
female/PHNP20_E,female/PHNP20
female/PHNP20_N,female/PHNP20
female/PHNP21_E,female/PHNP21
female/PHNP21_N,female/PHNP21
female/PHNP22_E,female/PHNP22
female/PHNP22_N,female/PHNP22
female/PHNP23_E,female/PHNP23
female/PHNP23_N,female/PHNP23
female/PHNP24_E,female/PHNP24
female/PHNP24_N,female/PHNP24
female/PHNP25_E,female/PHNP25
female/PHNP25_N,female/PHNP25
female/PHNP26_E,female/PHNP26
female/PHNP26_N,female/PHNP26
female/PHNP27_E,female/PHNP27
female/PHNP27_N,female/PHNP27
female/PHNP28_E,female/PHNP28
female/PHNP28_N,female/PHNP28
female/PHNP29_E,female/PHNP29
female/PHNP29_N,female/PHNP29
female/PHNP30_E,female/PHNP30
female/PHNP30_N,female/PHNP30
female/PHNP31_E,female/PHNP31
female/PHNP31_N,female/PHNP31
female/PHNU01_E,PHNU01
female/PHNU02_E,PHNU02
female/PHNU03_E,PHNU03
female/PHNU04_E,PHNU04
female/PHNU05_E,PHNU05
female/PHNU06_E,PHNU06
female/PHNU07_E,PHNU07
female/PHNU08_E,PHNU08
female/PHNU09_E,PHNU09
female/PHNU10_E,PHNU10
female/PHNU11_E,PHNU11
female/PHNU12_E,PHNU12
female/PHNU13_E,PHNU13
female/PHNU13_N,PHNU13
female/PHNU14_E,PHNU14
female/PHNU14_N,PHNU14
female/PHNU15_E,PHNU15
female/PHNU15_N,PHNU15
female/PHNU16_E,PHNU16
female/PHNU16_N,PHNU16
female/PHNU17_E,PHNU17
female/PHNU17_N,PHNU17
female/PHNU18_E,PHNU18
female/PHNU18_N,PHNU18
female/PHNU19_E,PHNU19
female/PHNU19_N,PHNU19
female/PHNU20_E,PHNU20
female/PHNU20_N,PHNU20
female/PHNU21_E,PHNU21
female/PHNU21_N,PHNU21
female/PHNU22_E,PHNU22
female/PHNU22_N,PHNU22
female/PHNU23_E,PHNU23
female/PHNU23_N,PHNU23
female/PHNU24_E,PHNU24
female/PHNU24_N,PHNU24
female/PHNU25_E,PHNU25
female/PHNU25_N,PHNU25
female/PHNU26_E,PHNU26
female/PHNU26_N,PHNU26
female/PHNU27_E,PHNU27
female/PHNU27_N,PHNU27
female/PHNU28_E,PHNU28
female/PHNU28_N,PHNU28
female/PHNU29_E,PHNU29
female/PHNU29_N,PHNU29
female/PHNU30_E,PHNU30
female/PHNU30_N,PHNU30
female/PHNU31_E,PHNU31
female/PHNU31_N,PHNU31
female/PHPE01,PHPE01_N
female/PHPE01_E,PHPE01_N
female/PHPE02,PHPE02_N
female/PHPE02_E,PHPE02_N
female/PHPE03,PHPE03_N
female/PHPE03_E,PHPE03_N
female/PHPE04,PHPE04_N
female/PHPE04_E,PHPE04_N
female/PHPE05,PHPE05_N
female/PHPE05_E,PHPE05_N
female/PHPH01,PHPH01_N
female/PHPH01_E,PHPH01_N
female/PHPH02,PHPH02_N
female/PHPH02_E,PHPH02_N
female/PHPH03,PHPH03_N
female/PHPH03_E,PHPH03_N
female/PHPH04,PHPH04_N
female/PHPH04_E,PHPH04_N
female/PHPH05,PHPH05_N
female/PHPH05_E,PHPH05_N
female/PHPH06,PHPH06_N
female/PHPH06_E,PHPH06_N
female/PHPH07_E,S2_37E
female/PHPH07_N,S2_37M
female/PHTD01,PHTD01_E
female/PHTD01_N,PHTD01_E
female/PHTD02,PHTD02_E
female/PHTD02_N,PHTD02_E
female/PHTD03,PHTD03_E
female/PHTD03_N,PHTD03_E
female/PHTD04,PHTD04_E
female/PHTD04_N,PHTD04_E
female/PHTD05,PHTD05_E
female/PHTD05_N,PHTD05_E
female/PHTD06,PHTD06_E
female/PHTD06_N,PHTD06_E
female/PHTD07,PHTD07_E
female/PHTD07_N,PHTD07_E
female/PHTD08,PHTD08_E
female/PHTD08_N,PHTD08_E
female/PHTD09,PHTD09_E
female/PHTD09_N,PHTD09_E
female/PHWE01_E,PHWE01_N
female/PHWE02_E,PHWE02_N
female/PHWE03_E,PHWE03_N
female/PHWE04_E,PHWE04_N
female/PHWE05_E,PHWE05_N
female/PHSN53_E,male/PHSN53_E
female/PHSN53_N,male/PHSN53_N
female/PHSN63_E,